Date,Product_ID,Product_Category,City,Store_Type,Price,Discount_Percentage,Marketing_Spend,Holiday_Flag,Previous_Month_Demand,Season,Next_Month_Demand
2023-07-01,ELEC104,Electronics,Chennai,Neighbourhood,3712.07,15,24486.4,No,172,Monsoon,222
2024-11-01,HOME102,Home Appliances,Bengaluru,Neighbourhood,6455.87,10,15571.15,Yes,106,Festival,322
2023-06-01,FASH104,Fashion,Chennai,Mall,2980.68,20,29061.8,No,393,Monsoon,479
2023-06-01,CARE104,Personal Care,Delhi,High Street,937.11,10,22604.47,No,996,Monsoon,865
2024-05-01,FASH104,Fashion,Bengaluru,Supermarket,2896.96,5,5183.57,No,465,Summer,485
2023-12-01,CARE101,Personal Care,Bengaluru,High Street,323.78,0,17829.12,No,847,Winter,901
2024-10-01,CARE103,Personal Care,Mumbai,Neighbourhood,161.57,10,6244.45,Yes,496,Festival,1104
2025-06-01,HOME101,Home Appliances,Delhi,Neighbourhood,11969.82,0,15783.74,No,102,Monsoon,123
2023-10-01,CARE104,Personal Care,Bengaluru,Neighbourhood,933.98,5,16584.68,No,645,Festival,851
2023-04-01,GROC101,Groceries,Delhi,Neighbourhood,130.83,15,21283.55,No,880,Summer,1102
2023-12-01,FASH101,Fashion,Kochi,Neighbourhood,1363.11,20,4872.76,Yes,180,Winter,338
2025-11-01,ELEC102,Electronics,Kolkata,Mall,21424.54,20,24990.65,Yes,167,Festival,441
2025-05-01,HOME101,Home Appliances,Chennai,Mall,10838.78,5,23266.6,No,172,Summer,222
2025-11-01,HOME102,Home Appliances,Kochi,Supermarket,8326.01,10,18170.4,Yes,144,Festival,242
2025-06-01,ELEC101,Electronics,Hyderabad,Neighbourhood,17028.27,20,27179.13,No,142,Monsoon,260
2023-12-01,CARE101,Personal Care,Mumbai,Neighbourhood,397.96,5,21272.79,Yes,621,Winter,839
2024-09-01,HOME101,Home Appliances,Pune,Neighbourhood,10528.34,15,16349.35,No,76,Festival,213
2025-07-01,GROC101,Groceries,Mumbai,Supermarket,127.41,10,29153.6,No,1417,Monsoon,1378
2023-07-01,CARE104,Personal Care,Bengaluru,Mall,955.69,20,5196.42,No,681,Monsoon,793
2024-07-01,CARE101,Personal Care,Hyderabad,Neighbourhood,392.81,5,18981.0,No,505,Monsoon,468
2025-03-01,GROC102,Groceries,Mumbai,Supermarket,231.53,10,13940.46,No,1342,Summer,1586
2024-08-01,HOME104,Home Appliances,Chennai,Supermarket,5369.07,15,18750.96,No,146,Monsoon,179
2023-06-01,GROC104,Groceries,Chennai,Neighbourhood,426.06,10,4171.82,No,872,Monsoon,829
2025-12-01,FASH103,Fashion,Delhi,Mall,934.94,10,21785.21,Yes,505,Winter,683
2023-11-01,HOME102,Home Appliances,Kolkata,Neighbourhood,7400.23,20,19743.58,Yes,87,Festival,297
2025-02-01,GROC104,Groceries,Bengaluru,Neighbourhood,514.04,0,29627.69,No,910,Winter,753
2024-08-01,CARE104,Personal Care,Kolkata,Mall,785.57,0,28394.36,Yes,777,Monsoon,783
2025-01-01,GROC102,Groceries,Kolkata,High Street,215.89,20,3711.91,Yes,1091,Winter,1216
2024-10-01,FASH103,Fashion,Kochi,Mall,774.94,0,6614.01,Yes,269,Festival,428
2025-04-01,ELEC101,Electronics,Pune,Mall,18299.33,25,23762.66,No,240,Summer,281
2024-02-01,ELEC102,Electronics,Kochi,Supermarket,22804.21,5,26711.96,No,207,Winter,237
2025-10-01,HOME103,Home Appliances,Kolkata,Supermarket,18109.66,15,23852.6,Yes,183,Festival,389
2025-06-01,FASH101,Fashion,Kochi,Neighbourhood,1464.24,10,24186.04,No,254,Monsoon,330
2023-11-01,FASH103,Fashion,Hyderabad,Neighbourhood,859.66,0,18927.78,Yes,284,Festival,492
2025-09-01,HOME102,Home Appliances,Pune,High Street,8511.42,20,6970.98,No,157,Festival,215
2023-10-01,ELEC104,Electronics,Delhi,Neighbourhood,3626.85,0,12380.16,Yes,176,Festival,363
2024-11-01,FASH102,Fashion,Kolkata,Neighbourhood,2329.69,5,14114.85,No,282,Festival,331
2025-08-01,GROC101,Groceries,Bengaluru,Supermarket,108.08,0,10521.94,Yes,986,Monsoon,1019
2025-02-01,GROC101,Groceries,Hyderabad,High Street,103.42,15,24584.08,No,1055,Winter,1225
2025-06-01,FASH103,Fashion,Kolkata,Mall,999.44,0,5281.96,No,422,Monsoon,296
2024-10-01,GROC104,Groceries,Pune,High Street,483.41,10,3990.45,Yes,993,Festival,1211
2024-11-01,FASH103,Fashion,Delhi,Mall,860.62,20,13723.42,Yes,531,Festival,928
2024-05-01,GROC102,Groceries,Delhi,Mall,257.02,20,21335.76,No,1397,Summer,1472
2024-06-01,HOME103,Home Appliances,Hyderabad,High Street,18467.29,10,18240.38,No,134,Monsoon,175
2025-10-01,FASH104,Fashion,Mumbai,Mall,3616.34,5,3203.43,Yes,450,Festival,647
2023-04-01,FASH102,Fashion,Hyderabad,High Street,2461.87,0,5166.31,No,390,Summer,316
2025-07-01,GROC104,Groceries,Delhi,Supermarket,492.8,20,9963.38,No,1064,Monsoon,1181
2023-02-01,FASH104,Fashion,Bengaluru,Supermarket,2916.87,20,29135.84,No,533,Winter,728
2023-12-01,ELEC102,Electronics,Hyderabad,Neighbourhood,25045.78,0,28164.39,Yes,158,Winter,275
2023-06-01,GROC104,Groceries,Bengaluru,Mall,516.14,0,11703.55,No,1374,Monsoon,1099
2024-05-01,ELEC103,Electronics,Pune,Neighbourhood,8706.29,10,5880.88,No,160,Summer,139
2024-02-01,CARE104,Personal Care,Mumbai,Mall,867.39,5,28014.13,No,996,Winter,1125
2025-06-01,FASH101,Fashion,Chennai,Mall,1560.19,5,27512.39,No,365,Monsoon,376
2025-01-01,GROC104,Groceries,Kolkata,Supermarket,503.96,15,19850.74,Yes,1046,Winter,965
2023-02-01,CARE104,Personal Care,Kolkata,Supermarket,881.51,10,11986.03,No,869,Winter,891
2024-03-01,CARE101,Personal Care,Delhi,High Street,380.3,20,7095.22,No,729,Summer,925
2023-04-01,GROC102,Groceries,Chennai,Supermarket,220.22,15,17485.0,No,1014,Summer,1069
2024-12-01,HOME104,Home Appliances,Pune,Mall,4979.54,10,14041.79,No,107,Winter,160
2025-02-01,FASH103,Fashion,Chennai,Neighbourhood,1010.28,5,18751.58,No,266,Winter,347
2025-02-01,FASH104,Fashion,Bengaluru,Mall,2816.76,0,9912.42,No,515,Winter,505
2023-04-01,CARE104,Personal Care,Chennai,Neighbourhood,973.24,15,13109.75,No,407,Summer,532
2025-05-01,ELEC102,Electronics,Mumbai,Supermarket,23019.3,0,7469.05,No,218,Summer,231
2024-03-01,CARE103,Personal Care,Kochi,Mall,196.35,5,3125.06,No,582,Summer,471
2025-01-01,GROC103,Groceries,Hyderabad,High Street,79.54,10,27798.28,Yes,760,Winter,999
2025-01-01,HOME102,Home Appliances,Chennai,Neighbourhood,8131.12,5,10494.85,Yes,89,Winter,178
2023-07-01,ELEC104,Electronics,Kochi,Mall,3878.66,10,17446.88,No,148,Monsoon,128
2025-06-01,FASH103,Fashion,Kolkata,Supermarket,891.42,5,19874.35,No,394,Monsoon,338
2024-04-01,FASH102,Fashion,Kochi,High Street,2218.25,15,17430.31,No,309,Summer,366
2023-04-01,ELEC104,Electronics,Chennai,Supermarket,3366.97,25,10310.11,No,231,Summer,273
2025-09-01,HOME104,Home Appliances,Bengaluru,Supermarket,4290.64,15,8993.25,No,155,Festival,275
2023-03-01,FASH101,Fashion,Delhi,Supermarket,1637.39,15,29695.68,No,521,Summer,602
2024-04-01,HOME104,Home Appliances,Chennai,High Street,4689.72,5,27201.07,No,103,Summer,154
2023-02-01,ELEC103,Electronics,Chennai,Neighbourhood,8780.26,5,12802.6,No,110,Winter,170
2024-08-01,CARE101,Personal Care,Hyderabad,Neighbourhood,343.29,10,10950.58,No,617,Monsoon,694
2025-08-01,ELEC102,Electronics,Mumbai,Mall,25312.26,5,20103.91,Yes,203,Monsoon,316
2023-04-01,GROC102,Groceries,Chennai,Mall,263.74,15,25209.76,No,1050,Summer,1044
2025-10-01,ELEC101,Electronics,Kochi,High Street,16414.67,20,3296.89,Yes,192,Festival,336
2023-06-01,FASH104,Fashion,Bengaluru,Neighbourhood,3194.5,15,18478.95,No,376,Monsoon,501
2023-02-01,HOME102,Home Appliances,Mumbai,Mall,7732.09,0,9624.43,No,169,Winter,185
2023-11-01,HOME101,Home Appliances,Mumbai,Supermarket,13617.5,10,13709.53,No,153,Festival,239
2024-08-01,FASH103,Fashion,Delhi,Supermarket,1022.91,20,7176.15,Yes,489,Monsoon,567
2023-09-01,ELEC104,Electronics,Kochi,Mall,3697.82,10,14740.34,No,153,Festival,216
2025-06-01,GROC104,Groceries,Mumbai,Mall,506.34,0,6694.1,No,1521,Monsoon,1228
2023-12-01,FASH104,Fashion,Pune,Mall,3415.14,15,20205.25,No,459,Winter,495
2025-02-01,GROC104,Groceries,Pune,Mall,459.17,5,27718.18,No,754,Winter,847
2023-07-01,ELEC103,Electronics,Kolkata,Neighbourhood,9066.24,25,15803.78,No,170,Monsoon,206
2024-05-01,FASH104,Fashion,Delhi,Mall,3388.44,0,12176.62,No,528,Summer,508
2024-03-01,ELEC104,Electronics,Chennai,High Street,3632.19,5,26921.4,No,199,Summer,232
2025-08-01,FASH103,Fashion,Pune,High Street,972.14,5,13852.13,Yes,371,Monsoon,382
2023-10-01,ELEC103,Electronics,Pune,Neighbourhood,7373.07,15,5982.8,Yes,122,Festival,277
2025-01-01,ELEC101,Electronics,Hyderabad,Supermarket,17375.36,10,21350.48,Yes,277,Winter,369
2023-06-01,FASH102,Fashion,Chennai,High Street,2524.17,0,9255.14,No,448,Monsoon,341
2023-10-01,FASH102,Fashion,Kochi,High Street,2501.8,0,25307.55,No,332,Festival,386
2024-11-01,ELEC101,Electronics,Mumbai,Neighbourhood,16239.03,25,13698.53,No,189,Festival,415
2024-01-01,CARE103,Personal Care,Kochi,Mall,199.45,20,15350.67,Yes,563,Winter,608
2025-05-01,ELEC103,Electronics,Kochi,High Street,8742.84,20,20691.53,No,164,Summer,188
2024-03-01,FASH101,Fashion,Kolkata,High Street,1707.95,10,5955.66,No,439,Summer,345
2024-01-01,ELEC102,Electronics,Kolkata,Mall,25693.06,10,25266.39,Yes,225,Winter,307
2023-06-01,FASH104,Fashion,Kolkata,Neighbourhood,3552.6,20,22125.8,No,327,Monsoon,388
2025-01-01,CARE102,Personal Care,Delhi,Supermarket,589.4,15,26804.2,No,904,Winter,1125
2025-07-01,GROC104,Groceries,Bengaluru,High Street,417.42,15,8214.59,No,860,Monsoon,1114
2025-03-01,ELEC101,Electronics,Kochi,Neighbourhood,18723.63,5,17579.61,No,139,Summer,150
2023-10-01,ELEC104,Electronics,Bengaluru,Supermarket,3163.47,10,23349.87,No,207,Festival,380
2025-12-01,GROC104,Groceries,Mumbai,Neighbourhood,391.59,15,18718.6,Yes,916,Winter,1376
2023-12-01,CARE103,Personal Care,Kochi,High Street,197.21,5,9817.74,Yes,481,Winter,475
2025-10-01,CARE104,Personal Care,Kochi,Supermarket,809.18,10,24459.86,No,570,Festival,782
2024-10-01,FASH103,Fashion,Mumbai,Mall,773.45,25,22744.29,No,569,Festival,966
2024-08-01,FASH101,Fashion,Chennai,Supermarket,1419.33,5,22559.41,No,357,Monsoon,379
2024-06-01,HOME104,Home Appliances,Mumbai,Neighbourhood,4555.55,0,5461.44,No,103,Monsoon,135
2025-03-01,GROC104,Groceries,Pune,Supermarket,422.21,15,27619.57,No,1265,Summer,1189
2025-06-01,ELEC102,Electronics,Delhi,Neighbourhood,22753.94,10,16273.05,No,132,Monsoon,200
2023-02-01,FASH104,Fashion,Chennai,Mall,2789.55,0,13597.33,No,398,Winter,360
2025-01-01,ELEC104,Electronics,Hyderabad,Mall,3479.53,0,5833.11,Yes,270,Winter,313
2025-08-01,HOME104,Home Appliances,Kochi,High Street,5661.86,15,4955.24,Yes,138,Monsoon,140
2025-02-01,GROC102,Groceries,Pune,High Street,262.78,0,28691.85,No,729,Winter,595
2023-06-01,ELEC102,Electronics,Kochi,Supermarket,23491.27,10,28250.45,No,224,Monsoon,242
2023-07-01,FASH104,Fashion,Kolkata,Neighbourhood,3472.48,10,15984.4,No,215,Monsoon,274
2024-02-01,FASH102,Fashion,Hyderabad,Neighbourhood,1975.3,5,26538.16,No,252,Winter,396
2025-08-01,FASH104,Fashion,Bengaluru,High Street,2939.32,15,29901.02,No,454,Monsoon,548
2023-10-01,FASH103,Fashion,Chennai,Mall,819.97,10,25692.21,Yes,495,Festival,770
2023-04-01,HOME104,Home Appliances,Hyderabad,Neighbourhood,5064.95,10,16877.89,No,114,Summer,160
2025-10-01,HOME102,Home Appliances,Pune,High Street,7848.77,15,29787.6,Yes,120,Festival,310
2024-09-01,ELEC103,Electronics,Bengaluru,Neighbourhood,8244.45,10,20078.59,No,155,Festival,276
2023-02-01,CARE101,Personal Care,Hyderabad,Mall,307.73,10,13935.56,No,821,Winter,1001
2023-06-01,ELEC103,Electronics,Kochi,Mall,8859.17,10,3243.82,No,183,Monsoon,145
2023-12-01,HOME101,Home Appliances,Pune,Supermarket,13381.35,5,14934.66,Yes,144,Winter,196
2023-05-01,HOME104,Home Appliances,Mumbai,Neighbourhood,4500.56,15,7525.72,No,95,Summer,174
2023-12-01,CARE101,Personal Care,Kochi,Neighbourhood,358.96,15,26443.32,Yes,356,Winter,540
2024-08-01,GROC101,Groceries,Kochi,Supermarket,108.48,5,5391.0,Yes,956,Monsoon,800
2023-12-01,GROC104,Groceries,Chennai,High Street,383.17,25,28698.92,Yes,1118,Winter,1566
2024-11-01,HOME102,Home Appliances,Delhi,Supermarket,7067.84,0,22026.38,Yes,200,Festival,376
2024-09-01,ELEC103,Electronics,Kolkata,Mall,8883.54,10,7783.04,No,226,Festival,273
2024-05-01,GROC104,Groceries,Pune,Neighbourhood,397.77,15,24478.78,No,827,Summer,1132
2023-01-01,FASH103,Fashion,Kolkata,High Street,940.83,10,5878.01,No,459,Winter,455
2023-09-01,CARE101,Personal Care,Pune,Mall,365.8,0,23660.15,No,861,Festival,861
2024-07-01,GROC102,Groceries,Chennai,Mall,277.67,5,13143.15,No,929,Monsoon,635
2023-01-01,HOME102,Home Appliances,Pune,Supermarket,7249.26,15,15114.73,Yes,138,Winter,248
2025-02-01,FASH103,Fashion,Kolkata,High Street,970.02,15,16512.02,No,375,Winter,373
2025-12-01,FASH104,Fashion,Pune,High Street,3406.87,15,17073.32,No,337,Winter,384
2024-04-01,CARE104,Personal Care,Pune,Mall,867.62,15,8323.16,No,702,Summer,685
2023-04-01,CARE104,Personal Care,Hyderabad,Supermarket,908.71,20,18685.17,No,650,Summer,778
2025-06-01,GROC102,Groceries,Kochi,Mall,221.64,10,7891.03,No,959,Monsoon,835
2023-07-01,ELEC102,Electronics,Chennai,High Street,24433.96,20,5350.05,No,218,Monsoon,207
2024-01-01,CARE102,Personal Care,Delhi,Mall,678.59,15,7718.88,Yes,1061,Winter,1228
2025-03-01,CARE104,Personal Care,Bengaluru,Neighbourhood,879.41,20,21023.85,No,477,Summer,861
2025-12-01,GROC101,Groceries,Pune,High Street,110.47,0,26470.01,Yes,913,Winter,889
2025-11-01,HOME103,Home Appliances,Kolkata,Supermarket,17410.89,5,19050.86,Yes,194,Festival,331
2025-11-01,CARE102,Personal Care,Mumbai,High Street,692.43,10,21695.78,No,666,Festival,1073
2025-08-01,CARE102,Personal Care,Delhi,Neighbourhood,668.67,15,13832.07,Yes,565,Monsoon,758
2023-04-01,CARE101,Personal Care,Delhi,High Street,304.84,15,20284.54,No,713,Summer,1053
2023-03-01,GROC103,Groceries,Delhi,High Street,91.89,5,15051.51,No,1022,Summer,1036
2024-10-01,HOME102,Home Appliances,Delhi,Mall,7927.51,0,8425.21,Yes,140,Festival,306
2024-05-01,HOME104,Home Appliances,Delhi,Supermarket,4601.96,20,13781.53,No,152,Summer,230
2023-05-01,HOME104,Home Appliances,Kolkata,Neighbourhood,5257.34,5,5509.09,No,91,Summer,106
2024-04-01,HOME102,Home Appliances,Delhi,High Street,6639.71,0,9138.65,No,148,Summer,180
2024-09-01,GROC103,Groceries,Kochi,Mall,87.81,10,10552.0,No,1074,Festival,1074
2023-12-01,ELEC102,Electronics,Hyderabad,High Street,26307.28,10,17376.99,No,162,Winter,239
2023-07-01,HOME102,Home Appliances,Kochi,Supermarket,6765.43,10,21763.68,No,122,Monsoon,150
2025-01-01,GROC101,Groceries,Chennai,High Street,123.83,5,6758.35,No,1100,Winter,981
2023-03-01,FASH101,Fashion,Hyderabad,Mall,1329.79,15,15912.32,No,423,Summer,496
2023-12-01,HOME101,Home Appliances,Pune,High Street,11199.91,20,25989.11,Yes,98,Winter,251
2023-02-01,HOME103,Home Appliances,Mumbai,Supermarket,19516.11,0,15414.61,No,145,Winter,179
2023-09-01,HOME102,Home Appliances,Hyderabad,Supermarket,7931.14,0,19687.4,No,174,Festival,239
2024-05-01,CARE103,Personal Care,Delhi,Neighbourhood,188.41,0,25896.43,No,682,Summer,682
2025-11-01,FASH104,Fashion,Hyderabad,High Street,3091.6,0,29023.2,Yes,315,Festival,592
2024-09-01,CARE102,Personal Care,Pune,High Street,673.19,5,11734.51,No,756,Festival,762
2025-08-01,HOME101,Home Appliances,Mumbai,Mall,1958.2849999999999,10,25797.64,Yes,178,Monsoon,317
2023-04-01,GROC104,Groceries,Kolkata,Neighbourhood,491.94,15,19580.2,No,849,Summer,921
2024-05-01,ELEC101,Electronics,Kochi,High Street,16675.22,10,25703.53,No,123,Summer,181
2024-09-01,HOME103,Home Appliances,Pune,High Street,17730.67,10,9128.05,No,154,Festival,214
2023-05-01,HOME101,Home Appliances,Pune,Mall,10336.88,0,23147.6,No,153,Summer,180
2024-12-01,FASH104,Fashion,Kochi,Mall,3092.09,10,15472.57,No,422,Winter,354
2023-05-01,GROC102,Groceries,Pune,Neighbourhood,279.92,10,24127.09,No,590,Summer,495
2023-09-01,GROC103,Groceries,Bengaluru,Supermarket,82.76,0,23915.11,No,1331,Festival,1529
2023-10-01,CARE104,Personal Care,Delhi,Supermarket,927.51,25,18725.41,No,1063,Festival,1626
2025-10-01,FASH102,Fashion,Pune,Mall,2018.25,20,13048.51,Yes,370,Festival,650
2025-06-01,HOME101,Home Appliances,Delhi,Neighbourhood,10245.77,10,29795.22,No,133,Monsoon,239
2025-06-01,ELEC104,Electronics,Kochi,Supermarket,3767.79,5,15434.57,No,214,Monsoon,178
2025-08-01,FASH104,Fashion,Hyderabad,High Street,3619.89,25,4165.69,Yes,314,Monsoon,441
2024-03-01,HOME103,Home Appliances,Bengaluru,Supermarket,16113.65,10,12244.36,No,171,Summer,225
2023-03-01,FASH103,Fashion,Chennai,High Street,936.8,20,23550.28,No,305,Summer,431
2024-04-01,ELEC104,Electronics,Chennai,Supermarket,3079.14,25,13840.35,No,248,Summer,307
2025-03-01,FASH102,Fashion,Kochi,Neighbourhood,2235.79,15,3141.2,No,269,Summer,231
2023-12-01,ELEC102,Electronics,Hyderabad,Mall,24009.56,25,11827.15,Yes,196,Winter,334
2024-08-01,GROC104,Groceries,Hyderabad,Supermarket,472.01,0,3050.76,Yes,866,Monsoon,598
2023-04-01,HOME101,Home Appliances,Chennai,Neighbourhood,13347.34,10,16772.96,No,115,Summer,143
2023-04-01,GROC102,Groceries,Bengaluru,Supermarket,274.38,5,16452.9,No,979,Summer,935
2024-10-01,CARE104,Personal Care,Hyderabad,High Street,977.93,15,16966.26,Yes,590,Festival,937
2024-06-01,HOME101,Home Appliances,Mumbai,Neighbourhood,13794.05,15,28194.06,No,133,Monsoon,197
2024-05-01,HOME104,Home Appliances,Kolkata,Supermarket,4864.86,0,25674.66,No,146,Summer,200
2023-10-01,GROC103,Groceries,Chennai,Supermarket,87.96,0,10372.91,Yes,971,Festival,1181
2024-07-01,GROC103,Groceries,Hyderabad,High Street,88.21,20,8024.74,No,1142,Monsoon,998
2023-06-01,GROC104,Groceries,Hyderabad,Supermarket,505.27,20,24065.75,No,854,Monsoon,730
2025-07-01,HOME104,Home Appliances,Kochi,Neighbourhood,4674.12,0,4204.06,No,67,Monsoon,62
2024-02-01,GROC104,Groceries,Kolkata,High Street,496.55,10,10239.75,No,782,Winter,727
2025-12-01,FASH104,Fashion,Bengaluru,High Street,3052.08,10,11510.12,No,335,Winter,468
2023-11-01,HOME104,Home Appliances,Pune,Neighbourhood,4328.39,25,14307.42,Yes,110,Festival,296
2024-09-01,GROC101,Groceries,Mumbai,Supermarket,122.35,5,15526.18,No,1601,Festival,1856
2025-09-01,GROC101,Groceries,Delhi,Supermarket,132.62,5,18153.02,No,1289,Festival,1685
2025-10-01,HOME102,Home Appliances,Mumbai,Mall,7609.89,15,19548.3,Yes,210,Festival,438
2024-10-01,ELEC102,Electronics,Bengaluru,High Street,24701.22,20,23230.66,Yes,248,Festival,532
2023-10-01,FASH104,Fashion,Mumbai,Supermarket,3046.19,10,26547.66,Yes,569,Festival,952
2025-04-01,FASH101,Fashion,Kochi,Neighbourhood,1622.41,25,3733.52,No,186,Summer,231
2023-03-01,HOME101,Home Appliances,Bengaluru,Neighbourhood,11538.96,15,15195.81,No,113,Summer,188
2023-11-01,HOME102,Home Appliances,Kolkata,Neighbourhood,8079.33,5,10463.93,Yes,111,Festival,229
2024-03-01,GROC102,Groceries,Delhi,Neighbourhood,224.95,10,19563.77,No,791,Summer,1263
2023-08-01,CARE104,Personal Care,Delhi,Neighbourhood,883.89,0,19613.05,Yes,730,Monsoon,788
2023-12-01,FASH102,Fashion,Pune,Neighbourhood,2190.34,25,6305.72,No,242,Winter,342
2023-05-01,ELEC103,Electronics,Kochi,Neighbourhood,8936.62,15,5143.98,No,136,Summer,136
2025-04-01,CARE101,Personal Care,Delhi,High Street,372.08,10,11487.45,No,793,Summer,833
2024-09-01,GROC102,Groceries,Mumbai,Neighbourhood,225.53,5,22224.38,No,1004,Festival,1620
2025-09-01,CARE103,Personal Care,Delhi,High Street,177.32,5,23218.31,No,866,Festival,1118
2023-05-01,HOME103,Home Appliances,Hyderabad,Supermarket,15468.02,5,22960.96,No,131,Summer,208
2025-11-01,HOME103,Home Appliances,Pune,High Street,16526.77,20,25600.11,Yes,138,Festival,344
2024-03-01,CARE103,Personal Care,Kochi,Mall,194.0,10,27397.41,No,550,Summer,601
2023-09-01,FASH104,Fashion,Chennai,Supermarket,3590.91,5,21109.77,No,432,Festival,505
2024-02-01,HOME101,Home Appliances,Kolkata,High Street,13716.48,10,5989.46,No,131,Winter,123
2025-01-01,GROC102,Groceries,Pune,High Street,234.42,20,27590.79,No,1034,Winter,1122
2024-07-01,HOME102,Home Appliances,Kolkata,High Street,6528.77,0,10109.53,No,105,Monsoon,135
2025-09-01,HOME101,Home Appliances,Hyderabad,Supermarket,11014.87,0,22716.65,No,171,Festival,261
2024-10-01,ELEC104,Electronics,Pune,Supermarket,3226.49,0,24453.61,Yes,213,Festival,377
2024-09-01,CARE101,Personal Care,Kolkata,Neighbourhood,348.78,5,22914.28,No,526,Festival,687
2024-07-01,GROC104,Groceries,Chennai,High Street,467.73,10,18975.82,No,1040,Monsoon,911
2023-04-01,HOME104,Home Appliances,Delhi,High Street,5706.15,15,10092.24,No,142,Summer,185
2023-08-01,ELEC102,Electronics,Kochi,Mall,21592.37,10,6780.65,Yes,217,Monsoon,236
2025-05-01,CARE101,Personal Care,Mumbai,Neighbourhood,344.48,10,15805.79,No,652,Summer,871
2023-08-01,FASH104,Fashion,Delhi,Mall,3490.48,5,18445.31,Yes,425,Monsoon,491
2023-09-01,CARE101,Personal Care,Kochi,Mall,333.75,0,16700.12,No,754,Festival,837
2024-07-01,FASH101,Fashion,Pune,High Street,1450.44,0,22706.23,No,415,Monsoon,351
2023-12-01,CARE104,Personal Care,Kochi,Mall,1022.59,15,22477.62,No,477,Winter,533
2024-08-01,GROC102,Groceries,Bengaluru,Neighbourhood,246.72,10,12964.43,Yes,794,Monsoon,1026
2024-08-01,ELEC101,Electronics,Delhi,High Street,19349.19,5,78981.5531,Yes,239,Monsoon,313
2024-02-01,GROC103,Groceries,Hyderabad,Mall,88.97,10,22547.27,No,880,Winter,995
2023-02-01,CARE102,Personal Care,Mumbai,Neighbourhood,712.4,25,21761.82,No,634,Winter,931
2024-03-01,GROC101,Groceries,Chennai,High Street,114.35,10,22687.68,No,1016,Summer,1021
2025-04-01,CARE102,Personal Care,Mumbai,High Street,567.63,10,17648.43,No,967,Summer,1023
